year,id_firm,logl,logk,logm,logq,invest
0,1,-.2689151,-.6640548,-1.202383,-.3650031,1.709539
1,1,-.3928791,-.4748642,-1.202578,-.3178716,.8065678
2,1,-.1043004,-.5339074,-1.031953,-.1601693,1.298378
3,1,.1164063,-.7075676,-2.385364,-.1193378,.5762317
4,1,-.3527172,-.8727881,-1.289506,-.230945,.9210789
5,1,-.2581794,-.7859956,-.8320372,-.0461556,.8646172
6,1,-.1420848,-.6397924,-.627176,-.0707697,1.104804
7,1,-.1401865,-.6620038,-.5689659,-.2071672,0
8,1,-.1593208,-.5127621,-.4609327,-.0325292,1.284113
9,1,-.1132002,-.2941625,-.3449161,-.1262376,.8508965
0,3,-.1066879,1.005383,-.2456567,.2124206,2.054391
1,3,-.1822375,1.022123,-.0567435,.3516853,0
2,3,-.0612425,.8965456,-.1377115,.4474309,1.404334
3,3,.2076659,1.219554,-.0299781,.6649538,6.02853
4,3,.4145877,1.133817,.4143506,.8722156,4.958096
5,3,.4949861,1.192258,.3023149,.6669577,2.676905
6,3,.4647841,1.414261,.802511,.795387,5.641765
7,3,.4971519,1.443483,.4748868,1.176497,10.16212
8,3,.9653972,2.100838,.1524157,1.290079,5.607732
9,3,.6706681,1.970192,.5368141,1.288223,2.37346
0,5,2.142016,1.749501,2.268816,2.395076,5.098918
1,5,2.126251,1.859043,2.523705,2.274102,8.004056
2,5,2.144521,2.19057,2.58112,2.078609,4.298647
3,5,2.134242,2.171779,2.256726,2.041528,3.038205
4,5,2.068649,1.944388,2.032579,1.853087,3.635411
5,5,1.876291,1.839,2.259837,1.944194,5.251211
6,5,1.446179,1.406796,2.023504,1.267171,2.490774
7,5,1.434977,.7514778,1.826578,1.356869,2.494879
8,5,1.8642,.9817124,1.896389,1.556223,0
9,5,1.496845,.4833076,1.819096,1.306755,1.446097
0,10,2.909516,3.130117,2.714019,3.105979,30.66297
1,10,2.816898,3.091327,2.480502,3.231941,32.50834
2,10,2.810425,3.414005,2.903083,3.06242,34.08073
3,10,2.923877,3.431634,2.728189,3.106768,0
4,10,2.538728,3.406041,2.450659,3.179199,41.83045
